epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.09,0.77499,3.16129,0.94296,0.06957,0.48148,0.05085,0.03692,0.99417,27.8212,0.89924,0.00026,0.00026,0.00026
2,657.915,0.7526,2.17661,0.90378,0.30563,0.57407,0.30332,0.21735,1.08567,2.26052,0.93855,0.00043308,0.00043308,0.00043308
3,980.119,0.72713,1.35221,0.87705,0.30343,0.59259,0.28545,0.21967,1.03874,2.78934,0.93324,0.00049528,0.00049528,0.00049528
4,1551.25,0.84307,1.44343,0.98667,0.01264,0.31481,0.00819,0.00471,1.33925,74.6929,1.03584,0.0004466,0.0004466,0.0004466
5,2197.89,0.71759,1.15652,0.92201,0.25205,0.62963,0.22881,0.16786,1.03529,2.84129,0.93139,0.00028704,0.00028704,0.00028704
