epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.405,0.70069,2.33876,0.93984,0.03901,0.48148,0.03162,0.0214,1.07447,12.981,0.92409,0.00022,0.00022,0.00022
2,728.813,0.60508,0.7792,0.86458,0.50018,0.74074,0.42843,0.3086,0.993,2.23869,0.91969,0.00036892,0.00036892,0.00036892
3,1038.87,0.58068,0.67729,0.86909,0.38605,0.59387,0.34809,0.26316,0.96845,4.11019,0.92634,0.0004228,0.0004228,0.0004228
4,1349.16,0.5918,0.58784,0.87003,0.50308,0.80622,0.44745,0.30143,1.06456,2.81097,0.98296,0.00038164,0.00038164,0.00038164
5,1661.69,0.55341,0.57508,0.86817,0.48647,0.77191,0.43298,0.32822,0.88455,1.80754,0.91062,0.00024544,0.00024544,0.00024544
