epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.029,0.7769,3.37756,0.97643,0.52123,0.48148,0.3805,0.26789,1.02545,4.19447,0.92288,0.00014,0.00014,0.00014
2,443.667,0.70208,1.28691,0.84467,0.30448,0.55556,0.28018,0.20161,1.04867,2.28095,0.91847,0.0002703,0.0002703,0.0002703
3,663.947,0.65194,1.29419,0.86602,0.46481,0.48148,0.41204,0.29243,1.06775,3.72759,0.92935,0.00036892,0.00036892,0.00036892
4,881.934,0.65238,0.95241,0.87097,0.06285,0.61111,0.05772,0.04117,0.9498,44.3827,0.90873,0.00043586,0.00043586,0.00043586
5,1087.02,0.60155,0.89565,0.85713,0.34226,0.57407,0.34351,0.25809,0.975,6.22516,0.91664,0.00047112,0.00047112,0.00047112
6,1309.66,0.68908,0.76765,0.86033,0.463,0.64815,0.40483,0.27276,1.11602,4.53815,0.94355,0.0004747,0.0004747,0.0004747
7,1502.4,0.62955,0.72194,0.84991,0.06472,0.59259,0.05015,0.03776,0.9524,21.2707,0.92043,0.0004466,0.0004466,0.0004466
8,1678.69,0.61402,0.65603,0.85915,0.39396,0.66667,0.3494,0.25484,0.97825,2.6323,0.92417,0.00038682,0.00038682,0.00038682
9,1858.92,0.59614,0.58625,0.83748,0.50485,0.75926,0.49533,0.37935,0.90747,2.01579,0.9062,0.00029536,0.00029536,0.00029536
10,2063.54,0.55697,0.53361,0.84118,0.51761,0.7037,0.48919,0.37295,0.92809,1.89769,0.90656,0.00017222,0.00017222,0.00017222
