epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.222,0.72997,2.04023,0.94005,0.55364,0.75385,0.50558,0.35582,1.07275,3.29466,0.91598,0.00028,0.00028,0.00028
2,985.079,0.67331,0.77413,0.92091,0.50405,0.64111,0.42453,0.32754,0.94342,3.19903,0.92491,0.0003886,0.0003886,0.0003886
3,1492.48,0.642,0.59431,0.9166,0.42864,0.64615,0.42129,0.32368,0.9671,2.83313,0.91487,0.0002992,0.0002992,0.0002992
