epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.144,0.69867,2.52177,0.95876,0.3187,0.66667,0.30214,0.2154,1.04302,6.06559,0.9373,0.00018,0.00018,0.00018
2,530.175,0.64034,0.98195,0.87267,0.33802,0.40741,0.32423,0.22237,1.05214,3.64028,0.92516,0.00030476,0.00030476,0.00030476
3,799.566,0.55476,0.77101,0.8583,0.49275,0.66667,0.42674,0.30766,1.03972,1.79646,0.94833,0.00035032,0.00035032,0.00035032
4,1073.25,0.56475,0.66848,0.86856,0.49508,0.66667,0.45433,0.33634,0.97363,1.80399,0.92806,0.00031668,0.00031668,0.00031668
5,1344.37,0.58711,0.69562,0.85963,0.52852,0.74074,0.45365,0.32813,0.95859,2.3307,0.91537,0.00020384,0.00020384,0.00020384
